user_id,article_id,rating
1,456,1
1,2934,1
1,82,1
1,1365,1
1,221,1
1,1715,1
1,1148,2
1,2359,1
1,944,2
1,1171,1
1,2361,2
1,2024,2
1,1781,1
2,2333,1
2,383,1
2,1425,1
2,1008,1
2,762,1
2,884,1
2,1949,1
2,1094,1
2,1188,1
2,2162,1
2,1852,1
3,382,1
3,1904,1
3,2806,1
3,2796,2
3,518,1
3,877,1
3,2094,1
3,937,1
3,379,1
3,694,1
3,2218,1
3,365,1
3,2665,1
3,801,1
3,1562,1
3,889,1
3,190,1
3,985,1
3,517,1
3,1870,1
3,2114,1
3,2491,1
3,506,1
3,2797,1
3,87,1
3,1554,1
5,2294,1
5,1339,1
5,2604,1
5,1341,1
5,2210,1
7,1964,1
7,260,2
7,1237,1
7,1776,1
7,1615,1
7,2125,1
8,577,1
8,68,1
8,1115,1
8,1737,1
8,838,1
8,1653,1
8,567,1
8,1067,1
8,2918,1
8,335,1
8,2427,1
8,452,1
8,801,1
8,1481,1
8,864,1
8,1045,1
9,1624,1
9,322,1
9,2351,4
9,1590,1
9,2009,1
9,128,1
9,1929,5
9,153,1
10,522,1
10,2282,5
10,1599,1
10,2429,3
10,2175,2
10,2901,5
10,2241,1
10,596,1
10,1755,1
10,2634,5
10,1396,5
10,104,1
11,1678,1
11,2244,1
11,2505,1
11,1641,1
11,1743,1
11,2006,1
11,221,1
11,169,1
11,2518,1
11,1786,1
11,2094,1
11,2692,1
11,334,1
11,402,1
11,793,1
11,2258,1
11,787,1
11,2874,1
11,197,1
11,2866,1
11,562,1
11,1847,1
11,1861,1
11,2252,1
11,745,1
11,2654,1
12,1423,1
12,762,2
12,1716,2
12,2324,1
12,1524,1
12,2137,1
13,2708,1
13,2090,1
13,1121,1
13,1332,1
13,50,1
13,1852,1
13,2237,1
13,2137,1
13,1392,1
13,1944,3
13,579,1
13,394,1
13,901,1
13,1486,1
13,1436,1
14,2660,1
14,2105,1
14,2360,1
14,1459,1
14,2832,2
14,1455,1
14,1313,1
14,1429,1
14,289,1
14,1411,1
14,597,2
14,1308,1
14,1167,1
14,2099,1
14,249,1
14,1634,1
14,554,3
14,1416,1
14,2235,1
14,1270,1
14,1414,1
14,401,1
14,19,1
14,2313,1
14,1671,1
14,1777,2
14,2796,2
14,1067,1
14,1825,3
14,2223,2
14,504,5
14,1190,1
14,651,1
14,456,1
14,1585,1
14,2253,1
14,2184,1
14,1636,1
14,1521,1
14,967,5
14,2156,1
14,2576,1
14,2976,2
14,840,1
14,2465,1
14,466,1
14,2855,1
14,824,1
14,1392,1
14,1376,1
14,367,1
14,477,1
14,2036,1
14,2502,1
14,2825,1
14,777,1
14,271,1
14,1694,5
14,1508,1
14,345,3
14,1939,1
14,161,1
14,2763,1
14,1221,1
14,1697,5
14,383,2
14,2847,2
14,2412,1
14,587,1
14,2827,1
14,409,1
14,1651,1
14,129,5
14,1340,1
14,1983,1
14,610,1
14,69,1
14,107,1
14,324,1
14,958,1
14,149,1
14,2252,1
14,2797,1
14,2497,1
14,2093,3
14,1609,1
14,1317,1
14,1335,3
14,1751,1
14,2361,1
14,2807,1
14,901,1
14,2040,1
14,605,1
14,2709,1
14,1744,1
14,2929,1
14,454,2
14,2178,5
14,1502,1
14,698,1
14,336,1
14,3,1
14,931,5
14,2661,1
14,2238,1
14,1366,1
14,82,1
14,1807,1
14,1767,2
14,114,1
14,15,1
14,2417,1
14,1684,1
14,2552,1
14,2334,1
15,937,1
15,764,1
15,1441,1
15,15,1
15,381,1
15,1649,1
15,1235,1
15,1714,1
15,2333,1
15,2370,1
15,2567,2
15,1278,1
15,1851,1
15,1403,2
15,488,1
15,2964,1
15,2709,1
15,1562,1
15,118,3
15,2484,3
15,185,1
16,1996,1
16,1641,1
16,1315,1
16,1067,1
16,1555,1
16,82,1
16,616,1
16,2686,1
16,1652,1
16,1878,1
16,1554,1
16,2196,1
16,1224,1
16,1305,3
16,466,1
16,1180,1
16,540,1
16,1972,1
16,2552,1
16,2503,1
16,502,1
16,144,1
16,2861,5
16,1070,1
16,2322,1
16,1058,1
16,451,1
16,433,1
16,2970,1
16,2543,1
16,1523,1
16,2480,1
16,2375,1
16,1460,1
16,2241,1
16,2278,1
16,2832,1
16,2235,2
16,1404,1
16,1367,1
16,747,1
16,1925,1
16,2448,1
16,1998,1
16,504,2
16,1915,1
16,1962,1
16,1182,1
16,689,1
16,240,1
16,112,2
16,172,1
16,2218,2
16,2386,1
16,263,2
16,152,1
16,2710,1
16,434,1
16,1991,1
16,2591,1
16,788,1
16,1399,1
16,563,1
16,1495,1
16,2568,1
16,1262,2
16,481,1
16,2361,1
16,1301,1
16,2457,1
16,2615,1
16,541,1
16,1539,1
16,2660,1
16,2795,1
16,830,1
16,2675,1
16,1806,1
16,2845,1
16,1535,1
16,2646,5
16,1378,1
16,1855,1
16,2761,1
16,188,1
16,618,1
16,715,1
16,96,1
18,776,1
18,1363,1
18,2277,1
18,2638,1
18,943,1
18,2368,1
18,2812,1
18,223,1
18,155,1
18,1080,1
18,1029,1
18,1110,1
18,2681,1
18,920,1
18,2392,1
18,2744,1
18,954,1
19,2162,1
19,484,1
19,1205,1
19,1301,1
19,2874,1
20,363,1
20,1175,3
20,459,1
20,2876,1
20,2697,1
20,428,1
20,1532,1
20,2480,1
20,2087,1
20,1294,1
20,2400,1
20,1295,1
20,604,1
20,2314,1
20,808,1
20,85,1
20,2223,1
20,271,1
20,2731,1
20,1751,1
20,468,1
20,1414,1
20,1904,1
20,929,1
20,334,1
20,807,1
20,2771,1
20,47,1
20,2836,1
20,911,3
20,1379,3
20,2613,3
20,235,1
20,2088,3
20,1008,1
20,1958,1
20,1135,1
20,1687,1
20,2275,1
20,620,1
20,2766,1
20,2442,1
21,311,1
21,615,1
21,276,1
21,2195,1
21,1782,2
21,1205,1
22,2125,1
22,967,5
22,551,1
22,2178,1
22,1203,1
22,35,3
22,2392,2
22,801,1
22,72,2
22,323,1
22,456,1
22,173,1
23,1936,1
23,1283,1
23,445,1
23,1257,1
23,2763,1
24,1403,5
24,72,1
24,2883,1
24,304,1
24,1254,1
24,2256,2
24,2090,1
24,2322,3
24,1205,1
24,419,3
24,1180,1
24,2880,3
24,1230,2
24,1614,3
24,612,2
24,2121,3
24,465,1
24,238,1
24,2697,3
24,2079,3
24,455,2
24,1251,1
24,68,1
24,1188,3
24,1562,1
24,1786,1
24,2669,1
24,1470,1
24,282,1
24,1508,1
24,1200,2
24,2743,3
24,276,2
24,2131,1
24,274,2
24,1901,2
24,1487,3
24,967,1
24,832,1
24,1550,1
24,1886,1
24,1237,3
24,2411,1
24,1389,1
24,2167,1
24,1989,1
24,1094,3
24,1007,1
24,466,1
24,598,3
24,1752,1
24,1014,1
24,513,1
24,2608,1
24,191,2
24,553,1
24,15,1
24,1567,1
24,1554,1
24,221,3
26,1904,2
26,2659,5
26,1147,2
